,Pitcher,PitcherThrows,Pitch,Pitches,RelSpeed,InducedVertBreak,HorzBreak,SpinRate,Extension,ArmAngle,Stuff+
0,"Riesselmann, Kyle",Left,Fastball,90.0,86.59004411111111,16.604356888888887,-4.432831888888888,2130.1139481666664,6.43865511111111,39.60381830207782,105.0
0,"Lorenzetti, Michael",Right,Fastball,98.0,89.20390581632654,9.838296734693877,18.173667959183675,1914.3318926428574,6.625867857142857,72.88055039471946,110.0
0,"Revis, Dusty",Right,Fastball,323.0,92.5453045510836,11.30290758513932,16.19233452012384,2231.4964252074305,6.323834520123839,66.82112106233808,102.0
0,"Revis, Dusty",Right,Sinker,41.0,93.73076999999999,9.837419024390243,17.584523902439024,2281.0678651707317,6.269119756097562,67.87746121164155,116.0
0,"Gaines, Andrew",Right,Fastball,64.0,91.9775471875,18.39748375,5.478040625,2350.3981853124997,6.5000898437500005,49.04743786033396,104.0
0,"Callanan, Brendan",Right,Fastball,21.0,85.67166666666667,18.482322857142858,9.060840476190476,2143.1969540476193,5.9166180952380945,60.68579087792732,101.0
0,"Todd, Jonathan",Right,Fastball,210.0,92.89728352380953,19.519402952380954,7.26204538095238,2394.156032795238,6.71170280952381,50.82346297354073,124.0
0,"Zguro, Matt",Right,Fastball,33.0,84.59189454545455,16.652143333333335,15.201758787878788,2235.5089735757574,5.535458787878788,50.93053899675534,96.0
0,"Reid, Jackson",Right,Fastball,53.0,90.43655830188678,12.874474528301889,15.431531320754718,2269.141892830189,6.955749433962264,55.256385895574816,87.0
0,"Little, Matt",Left,Fastball,449.0,87.99076870824052,11.674028017817372,-15.093408173719375,1975.2296353229399,4.8904868819599105,57.17047816954669,110.0
0,"Mucciarone, Alfred",Right,Fastball,162.0,86.03927925925925,13.067287283950618,8.328406049382716,2132.2444035864196,5.713937098765432,36.27135005469897,95.0
0,"Tuttoilmondo, Joey",Right,Fastball,169.0,90.04928668639054,12.307122721893492,16.350759171597634,2240.429174964497,6.199293076923078,60.26948376832495,99.0
0,"Williams, Dalton",Right,Fastball,39.0,88.45215589743589,17.486968974358973,4.982230256410257,2361.608056615384,6.566399743589743,49.59039206441604,109.0
0,"Keith, David",Right,Fastball,88.0,93.26519431818183,16.68538625,9.189011022727273,2275.627440659091,5.851444204545453,55.22277731287326,109.0
0,"Sivley, Kros",Left,Fastball,409.0,87.90312555012224,9.690459535452323,-11.317720831295842,1866.4535777090464,6.235526088019561,56.42021725923206,96.0
0,"Taylor, Will",Left,Fastball,402.0,85.9477419402985,16.47163970149254,-14.520693432835822,2050.5979219054725,5.171674626865673,39.92257885488613,80.0
0,"Druckenmiller, Drew",Right,Fastball,94.0,90.95255978723404,19.07814904255319,11.075582340425534,1993.7861303297875,6.2539724468085085,17.680224568316145,103.0
0,"Wren, Jack",Right,Fastball,64.0,89.15449874999999,15.410652343749998,15.123646406250002,2133.4387752187504,6.58548515625,56.506569742572445,104.0
0,"Fierro, Andrew",Right,Fastball,111.0,86.7970398198198,14.602730360360361,12.695745135135134,1905.9299045135135,5.672489009009008,39.86376577415577,72.0
0,"Fierro, Andrew",Right,Sinker,16.0,84.646270625,10.31947875,17.0552925,1967.6318000625001,5.5887575,42.08753368768403,95.0
0,"Middleton, JB",Right,Fastball,330.0,95.01601718181819,16.524135272727275,10.73005584848485,2053.9636115333333,6.03928393939394,47.96404477206716,106.0
0,"Kempler, Caleb",Right,Fastball,19.0,85.78423000000001,12.666777368421052,9.127675789473685,2123.393146263158,6.3264042105263165,70.81728304365079,113.0
0,"Gibbons, Evan",Right,Fastball,204.0,89.59034112745096,6.6657769117647065,19.114201470588235,2316.857907607843,5.295102794117646,63.927575669361254,100.0
0,"Gibbons, Evan",Right,Sinker,389.0,89.27574465295629,6.970228971722364,21.63944298200514,2308.5607589357323,5.170202493573266,62.929063374654035,103.0
0,"McRoberts, Chaz",Right,Fastball,141.0,88.75997617021277,18.89297574468085,13.190489574468085,2087.252775049645,5.097010212765958,48.51638058914059,88.0
0,"Stucky, Cole",Right,Fastball,74.0,87.57074554054053,8.707228648648648,15.327962027027027,2065.647213364865,5.552788918918919,19.592159219355214,99.0
0,"Stucky, Cole",Right,Sinker,11.0,88.7441909090909,7.78800090909091,14.856743636363634,1951.8793203636365,5.73614090909091,23.46185769918515,116.0
0,"Chavez, Brady",Right,Fastball,135.0,87.82188162962964,17.992137555555562,7.790291333333333,2159.0102154592596,6.294480592592592,44.89420456217263,99.0
0,"Rons, Cooper",Right,Fastball,170.0,86.3262302352941,18.37817082352941,7.948118470588236,2167.2295614941177,6.085902823529412,32.07965668070322,93.0
0,"Nunez, Michael",Right,Fastball,102.0,87.74364813725492,19.25786235294118,12.490521666666664,2116.0326665784314,5.2817050980392155,34.228522443539184,104.0
0,"Schroeder, Austin",Right,Fastball,172.0,88.08981610465118,15.320622441860463,6.396797558139535,1875.965400406977,6.502804186046512,27.29930501794406,100.0
0,"Brown, Kade",Right,Fastball,182.0,88.10971357142857,15.913121923076922,13.60600901098901,2238.485942873626,5.133688736263736,32.444542910724,91.0
0,"Geis, Jake",Right,Fastball,158.0,89.66240911392406,15.615333860759494,11.495660379746836,2142.260514544304,5.694007151898734,66.14755942710653,100.0
0,"Barrett, Seamus",Right,Fastball,291.0,93.67078395189003,18.812638934707905,16.04569323024055,2411.067095601374,6.1006715463917525,46.28164396655897,112.0
0,"Barrett, Seamus",Right,Sinker,42.0,92.76824809523809,18.243189047619047,13.479060952380953,2407.3948295714285,6.3286130952380955,49.128502303629276,117.0
